# Histogram
000000 000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000000
000005 000000	000000	000000	000000	000000
000006 000018	000003	000001	000026	000048
000007 100336	055929	056975	054471	267711
000008 1630628	1861047	1618029	1702821	6812525
000009 674927	871015	745191	887592	3178725
000010 331123	394906	294035	419868	1439932
000011 275739	324941	248704	343518	1192902
000012 229355	237836	230303	278800	976294
000013 194595	169023	206731	202659	773008
000014 159433	119115	179534	148533	606615
000015 125142	083943	150508	114889	474482
000016 097036	059045	123266	081684	361031
000017 075222	042762	099796	053595	271375
000018 059095	032197	080698	036950	208940
000019 049158	025594	064927	027822	167501
000020 040151	021363	053942	022266	137722
000021 035513	018662	046607	017694	118476
000022 033202	016690	038276	014261	102429
000023 028510	014969	033705	011811	088995
000024 026824	013432	032543	010024	082823
000025 026021	011811	027715	008379	073926
000026 024540	010587	025484	006991	067602
000027 022348	009535	022434	005797	060114
000028 020928	008608	017849	004975	052360
000029 016767	007687	013986	004274	042714
000030 017193	006920	011549	003902	039564
000031 016536	006476	009451	003487	035950
000032 014651	005850	008095	002985	031581
000033 014907	005299	007092	002682	029980
000034 014093	004691	006375	002381	027540
000035 012008	004224	005564	002326	024122
000036 009942	003989	005016	002101	021048
000037 008332	003656	004377	001962	018327
000038 007114	003414	003849	001745	016122
000039 005966	003139	003523	001687	014315
000040 005100	002897	003392	001542	012931
000041 004420	002736	002604	001345	011105
000042 003800	002435	002576	001184	009995
000043 003320	002226	002208	001154	008908
000044 002962	001990	001708	001021	007681
000045 002599	001813	001486	000839	006737
000046 002340	001712	001321	000831	006204
000047 001991	001560	001093	000709	005353
000048 001811	001460	001132	000651	005054
000049 001639	001344	000949	000623	004555
000050 001357	001244	000651	000486	003738
000051 001345	001128	000698	000417	003588
000052 001180	001083	000591	000377	003231
000053 001112	001021	000522	000376	003031
000054 001080	000901	000503	000329	002813
000055 000966	000857	000496	000275	002594
000056 000915	000823	000368	000255	002361
000057 000919	000730	000315	000219	002183
000058 000844	000709	000251	000220	002024
000059 000813	000719	000146	000180	001858
000060 000713	000667	000108	000188	001676
000061 000632	000592	000062	000184	001470
000062 000619	000515	000061	000152	001347
000063 000561	000516	000047	000118	001242
000064 000550	000430	000048	000114	001142
000065 000475	000406	000041	000098	001020
000066 000509	000390	000020	000088	001007
000067 000499	000385	000019	000084	000987
000068 000442	000312	000016	000088	000858
000069 000422	000307	000024	000073	000826
000070 000372	000305	000010	000059	000746
000071 000363	000251	000019	000047	000680
000072 000334	000242	000016	000050	000642
000073 000335	000240	000011	000043	000629
000074 000302	000199	000011	000038	000550
000075 000327	000196	000012	000033	000568
000076 000304	000195	000006	000022	000527
000077 000261	000160	000009	000030	000460
000078 000296	000143	000003	000018	000460
000079 000271	000150	000008	000029	000458
000080 000241	000116	000010	000013	000380
000081 000230	000115	000009	000016	000370
000082 000255	000132	000009	000019	000415
000083 000241	000116	000007	000016	000380
000084 000274	000125	000008	000014	000421
000085 000262	000090	000005	000012	000369
000086 000253	000107	000005	000012	000377
000087 000217	000121	000002	000017	000357
000088 000259	000088	000007	000007	000361
000089 000231	000107	000003	000008	000349
000090 000219	000091	000005	000007	000322
000091 000229	000103	000003	000015	000350
000092 000213	000098	000000	000008	000319
000093 000192	000107	000003	000005	000307
000094 000213	000104	000004	000008	000329
000095 000175	000103	000002	000011	000291
000096 000194	000089	000000	000001	000284
000097 000178	000088	000002	000005	000273
000098 000168	000090	000001	000011	000270
000099 000165	000114	000006	000007	000292
000100 000169	000100	000003	000001	000273
000101 000167	000112	000002	000002	000283
000102 000190	000075	000003	000000	000268
000103 000173	000094	000002	000004	000273
000104 000180	000085	000000	000003	000268
000105 000151	000078	000002	000002	000233
000106 000176	000074	000002	000003	000255
000107 000176	000087	000000	000001	000264
000108 000179	000079	000002	000005	000265
000109 000167	000072	000000	000004	000243
000110 000151	000077	000000	000001	000229
000111 000161	000084	000000	000001	000246
000112 000154	000090	000003	000002	000249
000113 000159	000067	000001	000000	000227
000114 000150	000072	000003	000001	000226
000115 000154	000077	000003	000002	000236
000116 000140	000079	000000	000002	000221
000117 000133	000082	000002	000002	000219
000118 000117	000081	000002	000001	000201
000119 000156	000078	000002	000001	000237
000120 000155	000084	000002	000000	000241
000121 000162	000067	000002	000001	000232
000122 000170	000057	000000	000001	000228
000123 000133	000067	000003	000000	000203
000124 000177	000056	000001	000001	000235
000125 000150	000077	000002	000002	000231
000126 000148	000068	000000	000000	000216
000127 000140	000060	000000	000000	000200
000128 000144	000047	000002	000000	000193
000129 000137	000052	000001	000000	000190
000130 000169	000066	000002	000001	000238
000131 000136	000042	000000	000001	000179
000132 000165	000054	000002	000000	000221
000133 000157	000047	000001	000000	000205
000134 000138	000044	000001	000000	000183
000135 000136	000045	000000	000000	000181
000136 000146	000036	000000	000001	000183
000137 000123	000037	000002	000000	000162
000138 000153	000046	000002	000000	000201
000139 000145	000042	000001	000000	000188
000140 000160	000036	000001	000000	000197
000141 000138	000040	000000	000000	000178
000142 000144	000052	000001	000001	000198
000143 000131	000039	000002	000000	000172
000144 000129	000030	000001	000000	000160
000145 000148	000024	000001	000000	000173
000146 000137	000028	000002	000000	000167
000147 000121	000031	000000	000000	000152
000148 000126	000027	000000	000001	000154
000149 000140	000027	000000	000000	000167
000150 000138	000030	000000	000001	000169
000151 000126	000021	000002	000000	000149
000152 000121	000023	000001	000000	000145
000153 000125	000030	000002	000001	000158
000154 000128	000035	000002	000001	000166
000155 000151	000014	000001	000000	000166
000156 000142	000018	000000	000000	000160
000157 000134	000022	000002	000000	000158
000158 000119	000019	000001	000000	000139
000159 000123	000019	000001	000000	000143
000160 000120	000016	000002	000000	000138
000161 000152	000015	000000	000000	000167
000162 000120	000009	000000	000000	000129
000163 000122	000012	000002	000000	000136
000164 000119	000009	000001	000000	000129
000165 000119	000004	000000	000000	000123
000166 000146	000003	000000	000000	000149
000167 000140	000004	000000	000000	000144
000168 000129	000006	000001	000000	000136
000169 000131	000005	000001	000000	000137
000170 000121	000005	000001	000000	000127
000171 000123	000002	000000	000000	000125
000172 000106	000006	000000	000000	000112
000173 000101	000004	000000	000000	000105
000174 000119	000003	000001	000000	000123
000175 000121	000006	000001	000000	000128
000176 000135	000002	000000	000000	000137
000177 000117	000004	000000	000000	000121
000178 000132	000002	000000	000000	000134
000179 000121	000000	000000	000000	000121
000180 000126	000001	000000	000000	000127
000181 000143	000003	000000	000000	000146
000182 000133	000001	000000	000000	000134
000183 000181	000003	000000	000000	000184
000184 000191	000002	000000	000000	000193
000185 000173	000001	000000	000000	000174
000186 000179	000001	000000	000000	000180
000187 000192	000000	000000	000000	000192
000188 000202	000004	000000	000000	000206
000189 000194	000001	000000	000001	000196
000190 000218	000003	000001	000000	000222
000191 000233	000001	000000	000000	000234
000192 000240	000001	000000	000000	000241
000193 000225	000007	000000	000000	000232
000194 000205	000000	000000	000000	000205
000195 000248	000004	000000	000000	000252
000196 000216	000001	000000	000000	000217
000197 000210	000002	000001	000000	000213
000198 000171	000001	000000	000000	000172
000199 000156	000001	000000	000000	000157
000200 000133	000001	000001	000000	000135
000201 000149	000000	000000	000000	000149
000202 000149	000002	000000	000000	000151
000203 000150	000000	000000	000000	000150
000204 000143	000003	000000	000000	000146
000205 000121	000001	000000	000000	000122
000206 000148	000000	000000	000000	000148
000207 000165	000000	000000	000000	000165
000208 000149	000000	000000	000000	000149
000209 000135	000000	000001	000000	000136
000210 000145	000001	000000	000000	000146
