# Histogram
000000 000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000000
000005 000000	000000	000000	000000	000000
000006 000006	000000	000000	000000	000006
000007 001399	000191	000128	000102	001820
000008 1567744	1488624	1371212	1375085	5802665
000009 1368183	1290008	1123558	1160848	4942597
000010 434921	412996	306369	368762	1523048
000011 292444	307726	212426	283286	1095882
000012 213913	258299	189584	251194	912990
000013 142370	190051	169657	207992	710070
000014 096097	133136	149266	183635	562134
000015 069022	098803	129674	155448	452947
000016 051566	073786	112072	114982	352406
000017 039533	054830	095873	084539	274775
000018 030903	040883	082015	063983	217784
000019 024383	030537	071492	048371	174783
000020 020019	023170	062216	037303	142708
000021 016668	017654	054542	028954	117818
000022 014074	013244	048111	023443	098872
000023 012186	010272	042394	018288	083140
000024 010639	007991	037487	014788	070905
000025 009608	006467	032926	011798	060799
000026 008447	005177	028522	009463	051609
000027 007520	004332	024677	007551	044080
000028 006700	003651	020963	006265	037579
000029 005018	003218	017579	005325	031140
000030 004337	002823	014704	004730	026594
000031 003930	002478	012410	004166	022984
000032 003565	002154	010475	003661	019855
000033 003206	001948	009059	003213	017426
000034 002961	001716	007782	002876	015335
000035 002630	001177	006960	002556	013323
000036 002449	000996	006094	002247	011786
000037 002217	000961	005339	001661	010178
000038 001927	000823	004717	001355	008822
000039 001745	000763	004248	001227	007983
000040 001536	000689	003993	001044	007262
000041 001457	000656	003544	000909	006566
000042 001336	000493	003090	000784	005703
000043 001134	000428	002808	000653	005023
000044 001160	000448	002482	000575	004665
000045 001202	000352	002319	000528	004401
000046 001269	000313	002068	000395	004045
000047 001385	000298	001713	000376	003772
000048 001598	000274	001559	000284	003715
000049 001755	000241	001456	000291	003743
000050 001735	000256	001208	000276	003475
000051 001720	000286	001078	000196	003280
000052 001617	000326	000995	000191	003129
000053 001482	000367	000872	000192	002913
000054 001299	000384	000721	000251	002655
000055 001187	000447	000709	000315	002658
000056 001022	000452	000572	000339	002385
000057 000794	000385	000508	000387	002074
000058 000637	000377	000401	000413	001828
000059 000468	000281	000380	000433	001562
000060 000349	000279	000339	000333	001300
000061 000257	000197	000291	000313	001058
000062 000195	000169	000243	000267	000874
000063 000170	000108	000274	000224	000776
000064 000104	000085	000226	000152	000567
000065 000092	000054	000185	000131	000462
000066 000073	000051	000158	000106	000388
000067 000094	000041	000139	000077	000351
000068 000058	000028	000119	000059	000264
000069 000046	000027	000099	000033	000205
000070 000038	000026	000091	000021	000176
000071 000035	000021	000087	000017	000160
000072 000033	000008	000086	000015	000142
000073 000026	000012	000061	000015	000114
000074 000033	000011	000054	000007	000105
000075 000020	000010	000052	000016	000098
000076 000023	000003	000044	000007	000077
000077 000015	000007	000038	000009	000069
000078 000009	000004	000031	000004	000048
000079 000024	000007	000016	000004	000051
000080 000013	000008	000017	000007	000045
000081 000007	000003	000013	000002	000025
000082 000011	000001	000013	000003	000028
000083 000014	000004	000015	000004	000037
000084 000013	000003	000019	000003	000038
000085 000007	000003	000012	000004	000026
000086 000009	000004	000007	000005	000025
000087 000007	000002	000009	000003	000021
000088 000003	000007	000002	000003	000015
000089 000008	000004	000006	000006	000024
000090 000005	000001	000006	000003	000015
000091 000005	000002	000003	000002	000012
000092 000003	000004	000005	000001	000013
000093 000002	000002	000003	000002	000009
000094 000002	000002	000002	000001	000007
000095 000002	000000	000001	000000	000003
000096 000003	000000	000002	000001	000006
000097 000003	000000	000004	000000	000007
000098 000003	000000	000004	000001	000008
000099 000002	000000	000003	000000	000005
000100 000001	000002	000003	000001	000007
000101 000002	000001	000001	000000	000004
000102 000003	000000	000002	000001	000006
000103 000000	000002	000001	000001	000004
000104 000003	000002	000000	000000	000005
000105 000001	000001	000002	000002	000006
000106 000002	000002	000001	000001	000006
000107 000001	000002	000000	000000	000003
000108 000000	000000	000001	000000	000001
000109 000000	000000	000001	000000	000001
000110 000001	000002	000000	000000	000003
000111 000001	000001	000001	000000	000003
000112 000000	000002	000001	000000	000003
000113 000002	000001	000000	000000	000003
000114 000001	000001	000001	000000	000003
000115 000001	000004	000001	000000	000006
000116 000001	000001	000001	000000	000003
000117 000001	000001	000003	000000	000005
000118 000000	000000	000001	000000	000001
000119 000000	000002	000001	000000	000003
000120 000000	000002	000001	000000	000003
000121 000000	000001	000000	000000	000001
000122 000000	000000	000002	000000	000002
000123 000000	000001	000001	000000	000002
000124 000000	000001	000000	000000	000001
000125 000001	000000	000003	000000	000004
000126 000002	000002	000001	000000	000005
000127 000000	000001	000001	000000	000002
000128 000000	000000	000000	000000	000000
000129 000000	000001	000000	000000	000001
000130 000000	000001	000000	000000	000001
000131 000001	000000	000000	000000	000001
000132 000000	000000	000000	000000	000000
000133 000000	000004	000000	000000	000004
000134 000001	000001	000000	000000	000002
000135 000000	000002	000000	000000	000002
000136 000001	000002	000000	000000	000003
000137 000000	000002	000000	000000	000002
000138 000000	000000	000000	000000	000000
000139 000000	000000	000001	000000	000001
000140 000001	000000	000001	000000	000002
000141 000000	000001	000000	000000	000001
000142 000000	000001	000000	000000	000001
000143 000000	000000	000002	000000	000002
000144 000001	000001	000000	000000	000002
000145 000000	000001	000001	000000	000002
000146 000003	000000	000001	000000	000004
000147 000001	000000	000000	000000	000001
000148 000000	000000	000001	000000	000001
000149 000000	000001	000001	000000	000002
000150 000000	000000	000000	000000	000000
000151 000000	000000	000000	000000	000000
000152 000002	000000	000000	000000	000002
000153 000000	000000	000001	000000	000001
000154 000002	000001	000000	000000	000003
000155 000000	000000	000000	000000	000000
000156 000000	000000	000000	000000	000000
000157 000001	000000	000001	000000	000002
000158 000000	000000	000000	000000	000000
000159 000000	000000	000000	000000	000000
000160 000000	000000	000001	000000	000001
000161 000000	000001	000000	000000	000001
000162 000000	000000	000000	000000	000000
000163 000000	000000	000001	000000	000001
000164 000000	000000	000000	000000	000000
000165 000001	000003	000001	000000	000005
000166 000002	000000	000001	000000	000003
000167 000000	000001	000001	000000	000002
000168 000001	000001	000001	000000	000003
000169 000001	000000	000000	000000	000001
000170 000000	000001	000002	000000	000003
000171 000000	000001	000000	000000	000001
000172 000000	000000	000000	000000	000000
000173 000000	000000	000001	000000	000001
000174 000000	000001	000000	000000	000001
000175 000000	000001	000001	000000	000002
000176 000000	000001	000000	000000	000001
000177 000000	000000	000000	000000	000000
000178 000001	000001	000000	000000	000002
000179 000000	000001	000001	000000	000002
000180 000000	000000	000000	000000	000000
000181 000000	000000	000002	000000	000002
000182 000000	000000	000001	000000	000001
000183 000000	000000	000000	000000	000000
000184 000000	000000	000000	000000	000000
000185 000000	000000	000000	000000	000000
000186 000000	000000	000001	000000	000001
000187 000000	000000	000000	000000	000000
000188 000000	000001	000000	000000	000001
000189 000000	000000	000000	000000	000000
000190 000001	000001	000000	000000	000002
000191 000002	000000	000000	000000	000002
000192 000000	000000	000000	000000	000000
000193 000000	000000	000001	000000	000001
000194 000001	000000	000000	000000	000001
000195 000000	000001	000000	000000	000001
000196 000000	000001	000001	000000	000002
000197 000000	000000	000000	000000	000000
000198 000001	000000	000000	000000	000001
000199 000000	000000	000000	000000	000000
000200 000000	000000	000000	000000	000000
000201 000001	000000	000001	000000	000002
000202 000000	000001	000000	000000	000001
000203 000000	000000	000000	000000	000000
000204 000000	000000	000000	000000	000000
000205 000000	000001	000000	000000	000001
000206 000001	000000	000000	000000	000001
000207 000000	000002	000000	000000	000002
000208 000000	000000	000000	000000	000000
000209 000000	000001	000000	000000	000001
000210 000000	000000	000001	000000	000001
