# Histogram
000000 000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000000
000005 000000	000000	000000	000000	000000
000006 006085	004253	005806	007188	023332
000007 063071	059897	059895	057620	240483
000008 391082	325347	351690	391540	1459659
000009 790662	650176	621291	756391	2818520
000010 699664	576680	515706	675691	2467741
000011 830596	620324	637838	874604	2963362
000012 604920	561045	594299	664744	2425008
000013 354014	431848	451506	388592	1625960
000014 206534	309077	315547	220088	1051246
000015 129097	215998	218389	132742	696226
000016 088434	153264	155367	086107	483172
000017 065280	112916	114309	059224	351729
000018 050295	085323	087459	042867	265944
000019 040363	067433	069161	032124	209081
000020 032039	054342	055736	024139	166256
000021 025762	044267	045087	018168	133284
000022 020444	036506	037631	013767	108348
000023 016740	030391	030248	010564	087943
000024 013454	024932	024322	008067	070775
000025 011028	020577	020577	006289	058471
000026 009101	017146	016925	005196	048368
000027 007515	014228	013756	004156	039655
000028 006189	011757	010906	003351	032203
000029 005065	009910	009168	002797	026940
000030 004262	008382	007258	002251	022153
000031 003419	006863	005804	001856	017942
000032 002884	006091	004761	001480	015216
000033 002402	005095	003635	001249	012381
000034 002132	004376	002887	000991	010386
000035 001892	003705	002301	000833	008731
000036 001599	003405	001840	000677	007521
000037 001437	002855	001422	000551	006265
000038 001307	002486	001121	000450	005364
000039 001174	002247	000947	000363	004731
000040 001038	001917	000800	000367	004122
000041 000933	001679	000611	000308	003531
000042 000854	001487	000522	000243	003106
000043 000744	001337	000443	000223	002747
000044 000688	001124	000374	000197	002383
000045 000591	001024	000300	000164	002079
000046 000505	000894	000289	000129	001817
000047 000463	000777	000228	000116	001584
000048 000405	000685	000201	000087	001378
000049 000327	000612	000164	000078	001181
000050 000330	000522	000135	000075	001062
000051 000299	000501	000114	000064	000978
000052 000262	000463	000111	000062	000898
000053 000245	000395	000082	000054	000776
000054 000214	000352	000095	000043	000704
000055 000161	000300	000052	000050	000563
000056 000135	000309	000055	000040	000539
000057 000116	000227	000042	000035	000420
000058 000127	000226	000038	000037	000428
000059 000111	000174	000030	000018	000333
000060 000106	000161	000021	000022	000310
000061 000076	000148	000032	000020	000276
000062 000069	000132	000024	000015	000240
000063 000080	000105	000023	000021	000229
000064 000065	000099	000017	000013	000194
000065 000050	000110	000017	000008	000185
000066 000050	000082	000012	000020	000164
000067 000055	000072	000013	000011	000151
000068 000048	000051	000015	000005	000119
000069 000041	000052	000013	000006	000112
000070 000052	000065	000015	000009	000141
000071 000047	000043	000009	000007	000106
000072 000062	000056	000013	000007	000138
000073 000051	000040	000009	000004	000104
000074 000057	000045	000009	000007	000118
000075 000070	000037	000010	000007	000124
000076 000067	000041	000004	000004	000116
000077 000052	000028	000002	000005	000087
000078 000052	000026	000006	000023	000107
000079 000040	000023	000007	000006	000076
000080 000039	000017	000005	000011	000072
000081 000028	000014	000002	000010	000054
000082 000028	000016	000006	000010	000060
000083 000030	000017	000001	000009	000057
000084 000007	000015	000001	000007	000030
000085 000019	000013	000005	000007	000044
000086 000009	000013	000003	000008	000033
000087 000013	000009	000001	000004	000027
000088 000008	000009	000003	000004	000024
000089 000010	000008	000002	000001	000021
000090 000009	000008	000001	000006	000024
000091 000010	000010	000002	000001	000023
000092 000008	000009	000001	000002	000020
000093 000004	000005	000001	000002	000012
000094 000007	000007	000001	000002	000017
000095 000008	000005	000001	000000	000014
000096 000005	000004	000001	000002	000012
000097 000002	000001	000002	000004	000009
000098 000004	000001	000001	000002	000008
000099 000002	000004	000002	000000	000008
000100 000004	000004	000000	000001	000009
000101 000001	000005	000001	000000	000007
000102 000004	000006	000002	000000	000012
000103 000003	000003	000002	000001	000009
000104 000004	000001	000000	000000	000005
000105 000001	000005	000001	000002	000009
000106 000001	000001	000001	000000	000003
000107 000000	000002	000001	000000	000003
000108 000000	000002	000000	000000	000002
000109 000001	000002	000002	000000	000005
000110 000001	000001	000000	000000	000002
000111 000000	000002	000001	000000	000003
000112 000001	000000	000000	000001	000002
000113 000004	000003	000000	000000	000007
000114 000001	000001	000001	000000	000003
000115 000001	000000	000000	000000	000001
000116 000000	000001	000000	000000	000001
000117 000000	000001	000002	000000	000003
000118 000001	000001	000001	000000	000003
000119 000001	000000	000002	000000	000003
000120 000003	000000	000000	000000	000003
000121 000002	000001	000000	000000	000003
000122 000000	000000	000000	000000	000000
000123 000001	000000	000000	000001	000002
000124 000000	000000	000000	000000	000000
000125 000001	000001	000001	000000	000003
000126 000002	000001	000000	000000	000003
000127 000000	000000	000000	000000	000000
000128 000001	000000	000001	000000	000002
000129 000000	000000	000000	000000	000000
000130 000000	000001	000000	000000	000001
000131 000000	000002	000000	000000	000002
000132 000000	000001	000000	000000	000001
000133 000000	000001	000000	000001	000002
000134 000000	000000	000001	000000	000001
000135 000001	000001	000000	000000	000002
000136 000001	000001	000000	000000	000002
000137 000001	000000	000000	000000	000001
000138 000000	000001	000000	000000	000001
000139 000000	000000	000000	000000	000000
000140 000001	000000	000000	000001	000002
000141 000000	000000	000000	000000	000000
000142 000001	000001	000001	000000	000003
000143 000001	000000	000002	000000	000003
000144 000001	000000	000000	000001	000002
000145 000001	000000	000000	000000	000001
000146 000000	000004	000000	000000	000004
000147 000000	000000	000000	000000	000000
000148 000000	000001	000000	000000	000001
000149 000002	000000	000000	000000	000002
000150 000001	000000	000000	000000	000001
000151 000000	000000	000000	000001	000001
000152 000000	000000	000001	000000	000001
000153 000000	000000	000000	000000	000000
000154 000000	000001	000000	000000	000001
000155 000001	000000	000000	000000	000001
000156 000000	000000	000000	000000	000000
000157 000001	000002	000001	000000	000004
000158 000000	000000	000000	000000	000000
000159 000001	000002	000000	000000	000003
000160 000001	000000	000000	000000	000001
000161 000001	000000	000000	000000	000001
000162 000001	000000	000000	000000	000001
000163 000000	000000	000000	000000	000000
000164 000000	000000	000000	000001	000001
000165 000000	000000	000000	000000	000000
000166 000000	000000	000000	000001	000001
000167 000001	000000	000000	000000	000001
000168 000000	000000	000000	000000	000000
000169 000003	000001	000001	000000	000005
000170 000000	000000	000000	000001	000001
000171 000000	000000	000000	000000	000000
000172 000000	000000	000000	000002	000002
000173 000000	000000	000000	000000	000000
000174 000000	000000	000000	000000	000000
000175 000000	000001	000000	000000	000001
000176 000001	000001	000000	000000	000002
000177 000000	000000	000000	000000	000000
000178 000000	000001	000000	000000	000001
000179 000000	000000	000002	000000	000002
000180 000000	000001	000000	000000	000001
000181 000000	000000	000000	000001	000001
000182 000000	000000	000000	000000	000000
000183 000001	000000	000000	000000	000001
000184 000001	000000	000000	000000	000001
000185 000000	000000	000000	000000	000000
000186 000000	000001	000000	000000	000001
000187 000000	000000	000000	000000	000000
000188 000000	000000	000000	000000	000000
000189 000000	000000	000000	000000	000000
000190 000000	000001	000000	000000	000001
000191 000000	000000	000000	000000	000000
000192 000001	000000	000000	000000	000001
000193 000000	000000	000000	000000	000000
000194 000000	000000	000000	000000	000000
000195 000000	000001	000000	000000	000001
000196 000000	000000	000000	000000	000000
000197 000000	000000	000000	000000	000000
000198 000000	000000	000001	000000	000001
000199 000000	000000	000000	000000	000000
000200 000000	000000	000000	000000	000000
000201 000000	000000	000000	000000	000000
000202 000000	000000	000000	000000	000000
000203 000001	000001	000000	000000	000002
000204 000000	000000	000000	000000	000000
000205 000000	000000	000000	000000	000000
000206 000000	000000	000000	000000	000000
000207 000000	000000	000000	000000	000000
000208 000000	000001	000000	000000	000001
000209 000000	000000	000000	000000	000000
000210 000000	000000	000000	000000	000000
000211 000000	000000	000000	000000	000000
